transfer_id,originator_id,beneficiary_id,originator_address,beneficiary_address,counterparty_vasp,kyc_status,approved_asset,requested_asset,approved_amount_limit,requested_amount,approved_destination,requested_destination,approved_period_start,approved_period_end,requested_at,external_tx_id,execution_status,public_dataset_basis,risk_label_basis,asset_match,amount_within_limit,destination_match,period_valid,kyc_verified,counterparty_registered,execution_trace_present,policy_decision
DA-TX-00001,ORG-0001,BEN-0001,0xORG000000000000000000000000000000000001,0xBEN000000000000000000000000000000000001,UNREGISTERED,VERIFIED,BTC,ETH,500,40.0,KR-VASP-A,UNREGISTERED,2026-01-01T00:00:00,2026-01-15T23:59:59,2026-01-07T09:00:00,0xTX000000000000,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,False,True,False,True,True,False,True,REVIEW
DA-TX-00002,ORG-0002,BEN-0004,0xORG000000000000000000000000000000000002,0xBEN000000000000000000000000000000000006,KR-VASP-B,VERIFIED,ETH,ETH,1000,78.75,KR-VASP-B,KR-VASP-B,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-09T09:37:00,0xTX000000007919,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00003,ORG-0003,BEN-0007,0xORG000000000000000000000000000000000003,0xBEN000000000000000000000000000000000011,GLOBAL-VASP-C,VERIFIED,USDT,USDT,2000,132.0,GLOBAL-VASP-C,GLOBAL-VASP-C,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-11T10:14:00,0xTX000000015838,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00004,ORG-0004,BEN-0010,0xORG000000000000000000000000000000000004,0xBEN000000000000000000000000000000000016,KR-VASP-A,VERIFIED,USDC,USDC,5000,253.0,KR-VASP-A,KR-VASP-A,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-13T10:51:00,0xTX000000023757,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00005,ORG-0005,BEN-0013,0xORG000000000000000000000000000000000005,0xBEN000000000000000000000000000000000021,KR-VASP-B,VERIFIED,BTC,BTC,10000,540.0,KR-VASP-B,KR-VASP-B,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-15T11:28:00,0xTX000000031676,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00006,ORG-0006,BEN-0016,0xORG000000000000000000000000000000000006,0xBEN000000000000000000000000000000000026,GLOBAL-VASP-C,VERIFIED,ETH,ETH,500,1125.0,GLOBAL-VASP-C,GLOBAL-VASP-C,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-17T12:05:00,0xTX000000039595,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,True,True,True,True,BLOCK
DA-TX-00007,ORG-0007,BEN-0019,0xORG000000000000000000000000000000000007,0xBEN000000000000000000000000000000000031,KR-VASP-A,VERIFIED,USDT,USDT,1000,2080.0,KR-VASP-A,KR-VASP-A,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-19T12:42:00,0xTX000000047514,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,True,True,True,True,BLOCK
DA-TX-00008,ORG-0008,BEN-0022,0xORG000000000000000000000000000000000008,0xBEN000000000000000000000000000000000036,KR-VASP-B,VERIFIED,USDC,USDC,2000,3100.0,KR-VASP-B,KR-VASP-B,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-21T13:19:00,0xTX000000055433,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,True,True,True,True,BLOCK
DA-TX-00009,ORG-0009,BEN-0025,0xORG000000000000000000000000000000000009,0xBEN000000000000000000000000000000000041,GLOBAL-VASP-C,VERIFIED,BTC,BTC,5000,6510.0,GLOBAL-VASP-C,GLOBAL-VASP-C,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-23T13:56:00,0xTX000000063352,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,True,True,True,True,BLOCK
DA-TX-00010,ORG-0010,BEN-0028,0xORG000000000000000000000000000000000010,0xBEN000000000000000000000000000000000046,KR-VASP-A,VERIFIED,ETH,ETH,10000,13750.0,KR-VASP-A,KR-VASP-A,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-25T14:33:00,0xTX000000071271,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,True,True,True,True,BLOCK
DA-TX-00011,ORG-0011,BEN-0031,0xORG000000000000000000000000000000000011,0xBEN000000000000000000000000000000000051,KR-VASP-B,VERIFIED,USDT,USDT,500,46.0,KR-VASP-B,KR-VASP-B,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-27T15:10:00,0xTX000000079190,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00012,ORG-0012,BEN-0034,0xORG000000000000000000000000000000000012,0xBEN000000000000000000000000000000000056,GLOBAL-VASP-C,VERIFIED,USDC,USDC,1000,90.0,GLOBAL-VASP-C,GLOBAL-VASP-C,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-29T15:47:00,0xTX000000087109,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00013,ORG-0013,BEN-0037,0xORG000000000000000000000000000000000013,0xBEN000000000000000000000000000000000061,KR-VASP-A,VERIFIED,BTC,BTC,2000,150.0,KR-VASP-A,KR-VASP-A,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-01-31T16:24:00,0xTX000000095028,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00014,ORG-0014,BEN-0040,0xORG000000000000000000000000000000000014,0xBEN000000000000000000000000000000000066,KR-VASP-B,VERIFIED,ETH,USDT,5000,286.0,KR-VASP-B,KR-VASP-B,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-02T17:01:00,0xTX000000102947,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,False,True,True,True,True,True,True,BLOCK
DA-TX-00015,ORG-0015,BEN-0043,0xORG000000000000000000000000000000000015,0xBEN000000000000000000000000000000000071,GLOBAL-VASP-C,VERIFIED,USDT,USDT,10000,450.0,GLOBAL-VASP-C,GLOBAL-VASP-C,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-04T17:38:00,0xTX000000110866,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00016,ORG-0016,BEN-0046,0xORG000000000000000000000000000000000016,0xBEN000000000000000000000000000000000076,KR-VASP-A,VERIFIED,USDC,USDC,500,945.0,KR-VASP-A,KR-VASP-A,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-06T18:15:00,0xTX000000118785,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,True,True,True,True,BLOCK
DA-TX-00017,ORG-0017,BEN-0049,0xORG000000000000000000000000000000000017,0xBEN000000000000000000000000000000000081,KR-VASP-B,VERIFIED,BTC,BTC,1000,1760.0,KR-VASP-B,KR-VASP-B,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-08T18:52:00,0xTX000000126704,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,True,True,True,True,BLOCK
DA-TX-00018,ORG-0018,BEN-0052,0xORG000000000000000000000000000000000018,0xBEN000000000000000000000000000000000086,UNREGISTERED,VERIFIED,ETH,ETH,2000,3565.0,GLOBAL-VASP-C,UNREGISTERED,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-10T19:29:00,0xTX000000134623,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,False,True,True,False,True,REVIEW
DA-TX-00019,ORG-0019,BEN-0055,0xORG000000000000000000000000000000000019,0xBEN000000000000000000000000000000000091,KR-VASP-A,VERIFIED,USDT,USDT,5000,7440.0,KR-VASP-A,KR-VASP-A,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-12T20:06:00,0xTX000000142542,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,True,True,True,True,BLOCK
DA-TX-00020,ORG-0020,BEN-0058,0xORG000000000000000000000000000000000020,0xBEN000000000000000000000000000000000001,KR-VASP-B,VERIFIED,USDC,USDC,10000,15625.0,KR-VASP-B,KR-VASP-B,2026-01-01T00:00:00,2026-01-15T23:59:59,2026-02-14T20:43:00,0xTX000000150461,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,False,True,True,True,BLOCK
DA-TX-00021,ORG-0021,BEN-0061,0xORG000000000000000000000000000000000021,0xBEN000000000000000000000000000000000006,GLOBAL-VASP-C,VERIFIED,BTC,BTC,500,52.0,GLOBAL-VASP-C,GLOBAL-VASP-C,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-16T21:20:00,0xTX000000158380,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00022,ORG-0022,BEN-0064,0xORG000000000000000000000000000000000022,0xBEN000000000000000000000000000000000011,KR-VASP-A,VERIFIED,ETH,ETH,1000,75.0,KR-VASP-A,KR-VASP-A,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-18T21:57:00,0xTX000000166299,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00023,ORG-0023,BEN-0067,0xORG000000000000000000000000000000000023,0xBEN000000000000000000000000000000000016,KR-VASP-B,VERIFIED,USDT,USDT,2000,126.0,KR-VASP-B,KR-VASP-B,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-20T22:34:00,0xTX000000174218,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00024,ORG-0024,BEN-0070,0xORG000000000000000000000000000000000024,0xBEN000000000000000000000000000000000021,GLOBAL-VASP-C,VERIFIED,USDC,USDC,5000,242.0,GLOBAL-VASP-C,GLOBAL-VASP-C,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-22T23:11:00,0xTX000000182137,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00025,ORG-0025,BEN-0002,0xORG000000000000000000000000000000000025,0xBEN000000000000000000000000000000000026,KR-VASP-A,VERIFIED,BTC,BTC,10000,517.5,KR-VASP-A,KR-VASP-A,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-24T23:48:00,0xTX000000190056,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,True,True,True,True,True,True,PASS
DA-TX-00026,ORG-0026,BEN-0005,0xORG000000000000000000000000000000000026,0xBEN000000000000000000000000000000000031,KR-VASP-B,VERIFIED,ETH,ETH,500,1080.0,KR-VASP-B,KR-VASP-B,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-02-27T00:25:00,0xTX000000197975,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,True,True,True,True,BLOCK
DA-TX-00027,ORG-0027,BEN-0008,0xORG000000000000000000000000000000000027,0xBEN000000000000000000000000000000000036,GLOBAL-VASP-C,VERIFIED,USDT,USDC,1000,2000.0,GLOBAL-VASP-C,GLOBAL-VASP-C,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-03-01T01:02:00,0xTX000000205894,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,False,False,True,True,True,True,True,BLOCK
DA-TX-00028,ORG-0028,BEN-0011,0xORG000000000000000000000000000000000028,0xBEN000000000000000000000000000000000041,KR-VASP-A,VERIFIED,USDC,USDC,2000,4030.0,KR-VASP-A,KR-VASP-A,2026-01-01T00:00:00,2026-12-31T23:59:59,2026-03-03T01:39:00,0xTX000000213813,EXECUTED,ELLIPTIC_TIME_STEP_AND_CLASS_PROPORTION,unknown,True,False,True,True,True,True,True,BLOCK
