source,jurisdiction,regulation_name,article,paragraph,effective_date,effective_status,applicable_entity,obligation_id,obligation_text,subject,action,object,condition,control_type,required_field,source_system,fpg_scope,source_url,source_note
LAW_GO_KR,KR,Act on Reporting and Using Specified Financial Transaction Information,Article 2,1-ha,2026-08-20,CURRENT,VASP,DA-OBL-001,VASP is included in financial companies etc. for specified financial transaction information obligations.,VASP,classify_entity,virtual_asset_service_provider,regulated virtual asset transfer context,COUNTERPARTY_VASP_VERIFY,counterparty_vasp,VASP_INTERNAL,EXTERNAL_RESULT_CHECK,https://www.law.go.kr/lsLinkCommonInfo.do?chrClsCd=010202&lsJoLnkSeq=1027653489,Official law portal; current law page observed as effective 2026-08-20.
LAW_GO_KR,KR,Act on Reporting and Using Specified Financial Transaction Information,Article 5-2,1,2026-08-20,CURRENT,financial_company_or_vasp,DA-OBL-002,Customer due diligence obligation before or during financial transaction relationship.,customer,verify_status,customer_due_diligence,before regulated transfer request is handed off,KYC_STATUS_CHECK,kyc_status,EXTERNAL_KYC_SYSTEM,EXTERNAL_RESULT_CHECK,https://www.law.go.kr/lsInfoP.do?lsId=009244,FPG checks returned status only; KYC execution remains outside FPG.
LAW_GO_KR,KR,Act on Reporting and Using Specified Financial Transaction Information,Article 5-3,1,2026-08-20,CURRENT,financial_company_or_vasp,DA-OBL-003,Restrict or refuse transaction when customer verification cannot be completed.,transfer_request,restrict_transfer,unverified_customer_transfer,required customer verification is not satisfied,TRANSFER_RESTRICTION,kyc_status,FPG_POLICY_INPUT,DIRECT_ENFORCEMENT,https://www.law.go.kr/lsInfoP.do?lsId=009244,"Legal basis is represented as candidate control, not final legal judgment."
LAW_GO_KR,KR,Enforcement Decree of Act on Reporting and Using Specified Financial Transaction Information,Article 10-10,1,2026-08-20,CURRENT,VASP,DA-OBL-004,VASP transfer information duties include originator and beneficiary information handling.,originator,verify_identity,originator_identity,virtual asset transfer between VASPs,ORIGINATOR_VERIFY,originator_identity,VASP_INTERNAL,FPG_REQUIRED_INPUT,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288765,Identity itself is not on-chain; FPG requires a trusted input or result.
LAW_GO_KR,KR,Enforcement Decree of Act on Reporting and Using Specified Financial Transaction Information,Article 10-10,1,2026-08-20,CURRENT,VASP,DA-OBL-005,VASP transfer information duties include beneficiary information handling.,beneficiary,verify_identity,beneficiary_identity,virtual asset transfer between VASPs,BENEFICIARY_VERIFY,beneficiary_identity,VASP_INTERNAL,FPG_REQUIRED_INPUT,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288765,Identity itself is not on-chain; FPG requires a trusted input or result.
KOFIU,KR,KoFIU AML/CDD virtual asset guidance,Travel Rule guidance,originator-beneficiary information,REVIEW_REQUIRED,CURRENT,VASP,DA-OBL-006,Transfer-related originator and beneficiary information should be transmitted or retained for the counterpart VASP.,transfer_information,transfer_information,originator_beneficiary_information,travel-rule applicable transfer,INFORMATION_TRANSFER,transaction_id,VASP_INTERNAL,EXTERNAL_RESULT_CHECK,https://www.kofiu.go.kr/kor/policy/guide04.do,Official KoFIU guidance page; exact paragraph remains REVIEW_REQUIRED.
LAW_GO_KR,KR,Virtual Asset User Protection Act,Article 9,1,2024-07-19,CURRENT,VASP,DA-OBL-007,"VASP must create, preserve, and make searchable transaction records for virtual asset transactions.",execution_record,record_keep,virtual_asset_transaction_record,after virtual asset transaction,RECORD_KEEPING,execution_status,EXTERNAL_EXECUTION_SYSTEM,EXTERNAL_RESULT_CHECK,https://law.go.kr/lsInfoP.do?lsiSeq=252731,"FPG records execution handoff/result, not direct asset transfer."
FATF,GLOBAL,FATF Recommendation 15 Interpretive Note,INR.15,7(b),2019-06,CURRENT,VASP,DA-OBL-008,Originating VASPs obtain and hold required and accurate originator information and required beneficiary information.,originating_vasp,obtain_hold,originator_and_beneficiary_information,virtual asset transfer,ORIGINATOR_VERIFY,originator_identity,VASP_INTERNAL,FPG_REQUIRED_INPUT,https://www.fatf-gafi.org/en/publications/Fatfrecommendations/Regulation-virtual-assets-interpretive-note.html,FATF official public statement with INR.15 draft/final adoption context.
FATF,GLOBAL,FATF Recommendation 15 Interpretive Note,INR.15,7(b),2019-06,CURRENT,beneficiary_vasp,DA-OBL-009,Beneficiary VASPs obtain and hold required originator information and required and accurate beneficiary information.,beneficiary_vasp,obtain_hold,originator_and_beneficiary_information,virtual asset transfer,BENEFICIARY_VERIFY,beneficiary_identity,VASP_INTERNAL,FPG_REQUIRED_INPUT,https://www.fatf-gafi.org/en/publications/Fatfrecommendations/Regulation-virtual-assets-interpretive-note.html,FATF official public statement with INR.15 draft/final adoption context.
FATF,GLOBAL,FATF Recommendations,Recommendation 16,payment transparency,2026-06,CURRENT,financial_institution_or_vasp,DA-OBL-010,Wire transfer transparency requirements inform originator/beneficiary information controls for virtual asset transfers.,transfer_information,transmit_information,originator_beneficiary_information,transfer transparency requirement applies,INFORMATION_TRANSFER,transaction_id,VASP_INTERNAL,EXTERNAL_RESULT_CHECK,https://www.fatf-gafi.org/en/publications/Fatfrecommendations/Fatf-recommendations.html,FATF Recommendations page observed as amended June 2026.
FATF,GLOBAL,FATF Virtual Assets guidance,Virtual assets topic page,VASP preventive measures,2026-07-16,CURRENT,VASP,DA-OBL-011,"VASPs need preventive measures including CDD, record keeping, suspicious transaction reporting, and secure originator/beneficiary transfer information.",vasp_controls,monitor_and_record,preventive_measures,virtual asset services,RECORD_KEEPING,execution_status,VASP_INTERNAL,EXTERNAL_RESULT_CHECK,https://www.fatf-gafi.org/en/topics/virtual-assets.html,FATF virtual assets topic page includes 2026 targeted update.
FATF,GLOBAL,FATF Recommendation 15 Interpretive Note,INR.15,7(b),2019-06,CURRENT,VASP,DA-OBL-012,Other R.16 requirements including monitoring information availability and freezing/prohibiting transactions with designated persons apply on the same basis.,transfer_request,restrict_transfer,restricted_or_designated_transfer,information unavailable or designated-person restriction applies,TRANSFER_RESTRICTION,execution_status,FPG_POLICY_INPUT,DIRECT_ENFORCEMENT,https://www.fatf-gafi.org/en/publications/Fatfrecommendations/Regulation-virtual-assets-interpretive-note.html,Candidate control only; designated-person screening engine is external to this repo.
LAW_GO_KR,KR,Virtual Asset User Protection Act,Article 6,1,2024-07-19,CURRENT,VASP,DA-OBL-013,User assets must be managed separately from VASP assets.,user_asset,verify_asset,requested_asset,virtual asset user asset transfer,ADDRESS_VERIFY,asset,FPG_POLICY_INPUT,DIRECT_ENFORCEMENT,https://law.go.kr/lsInfoP.do?lsiSeq=252731,"Used only as an asset binding candidate, not settlement execution."
FSC,KR,FSC virtual asset policy release,Policy release,2026-08-11,2026-08-11,FUTURE,VASP,DA-OBL-014,Future virtual asset policy direction is monitored but not enforced as current runtime policy.,future_policy,monitor,future_virtual_asset_policy,not current enforceable obligation in this artifact,RECORD_KEEPING,source_note,POLICY_MONITORING,OUT_OF_SCOPE,https://www.fsc.go.kr/po010103/87499,Marked FUTURE/OUT_OF_SCOPE to avoid mixing current and future enforcement.
