required_field,legal_control,actual_dataset_field,availability_class,derivation_method,confidence,note
originator_identity,DA-OBL-004|DA-OBL-008,source_user_id,VASP_INTERNAL,Platform user id is not legal identity.,low,Actual dataset evidence prioritized over v1 assumption.
beneficiary_identity,DA-OBL-005|DA-OBL-009,target_user_id,VASP_INTERNAL,Platform user id is not legal identity.,low,Actual dataset evidence prioritized over v1 assumption.
originator_address,ANALYSIS_REQUIRED,,MISSING,Actual file has no blockchain address.,high,Actual dataset evidence prioritized over v1 assumption.
beneficiary_address,ANALYSIS_REQUIRED,,MISSING,Actual file has no blockchain address.,high,Actual dataset evidence prioritized over v1 assumption.
amount,ANALYSIS_REQUIRED,,MISSING,Actual file has no amount/value column.,high,Actual dataset evidence prioritized over v1 assumption.
asset,DA-OBL-013,,NOT_APPLICABLE,"Dataset is Bitcoin ecosystem trust graph, not asset transfer ledger.",medium,Actual dataset evidence prioritized over v1 assumption.
counterparty_vasp,DA-OBL-001,,VASP_INTERNAL,VASP status is not present in public graph data.,high,Actual dataset evidence prioritized over v1 assumption.
kyc_status,DA-OBL-002|DA-OBL-003,,EXTERNAL_CONTROL_RESULT,KYC result is never observable on public chain or trust graph.,high,Actual dataset evidence prioritized over v1 assumption.
transaction_id,DA-OBL-006|DA-OBL-010,event_id,DERIVABLE_FROM_ONCHAIN,"A local event id can be derived, but it is not blockchain tx hash.",medium,Actual dataset evidence prioritized over v1 assumption.
tx_hash,ANALYSIS_REQUIRED,,MISSING,Actual file has no transaction hash.,high,Actual dataset evidence prioritized over v1 assumption.
execution_status,DA-OBL-007|DA-OBL-011|DA-OBL-012,,EXTERNAL_CONTROL_RESULT,Execution status must come from execution/receipt system.,high,Actual dataset evidence prioritized over v1 assumption.
timestamp,ANALYSIS_REQUIRED,timestamp|event_time,ONCHAIN_AVAILABLE,Actual file has Unix timestamp for graph event.,high,Actual dataset evidence prioritized over v1 assumption.
