requirement_id,jurisdiction,regulation_name,article,paragraph,effective_status,obligation_id,obligation_summary,outbound_requirement_type,required_field,field_role,source_system,source_trust_level,transform_type,destination,mandatory_level,trigger_condition,handoff_condition,on_missing_action,retention_requirement,audit_requirement,fpg_scope,legal_basis_reference,evidence_type,required_exact,ethereum_field,availability_class,note
OR-DA-001,KR,Act on Reporting and Using Specified Financial Transaction Information,Article 2,1-ha,CURRENT,DA-OBL-001,VASP is included in financial companies etc. for specified financial transaction information obligations.,REQUIRED_EXTERNAL_STATUS,counterparty_vasp,REGULATORY_ATTRIBUTE|DESTINATION_ATTRIBUTE,VASP_DIRECTORY_OR_PROVIDER|TRAVEL_RULE_PROVIDER,TRUSTED_EXTERNAL_RESULT,MAP_TO_EXTERNAL_SCHEMA|SPLIT_INTERNAL_EXTERNAL,TRAVEL_RULE_PROVIDER|EXTERNAL_VASP|INTERNAL_AUDIT_ONLY,MANDATORY,regulated virtual asset transfer context,Required input must be resolved before outbound handoff.,REVIEW,RETAIN_FOR_REGULATORY_RECORD,AUDIT_REQUIRED,EXTERNAL_RESULT_CHECK,LAW_GO_KR::Act on Reporting and Using Specified Financial Transaction Information::Article 2::1-ha,LEGAL_REQUIREMENT,TRUE,,VASP_INTERNAL,Official law portal; current law page observed as effective 2026-08-20.
OR-DA-002,KR,Act on Reporting and Using Specified Financial Transaction Information,Article 5-2,1,CURRENT,DA-OBL-002,Customer due diligence obligation before or during financial transaction relationship.,REQUIRED_CHECK,kyc_status,REGULATORY_ATTRIBUTE|TRANSFORM_INPUT,KYC_AML_SYSTEM,TRUSTED_EXTERNAL_RESULT,OMIT,NOT_EXTERNALIZED|INTERNAL_AUDIT_ONLY,MANDATORY,before regulated transfer request is handed off,Required input must be resolved before outbound handoff.,REVIEW,RETAIN_STATUS_REFERENCE_ONLY,AUDIT_REQUIRED,EXTERNAL_RESULT_CHECK,LAW_GO_KR::Act on Reporting and Using Specified Financial Transaction Information::Article 5-2::1,LEGAL_REQUIREMENT,TRUE,,EXTERNAL_CONTROL_RESULT,FPG checks returned status only; KYC execution remains outside FPG.
OR-DA-003,KR,Act on Reporting and Using Specified Financial Transaction Information,Article 5-3,1,CURRENT,DA-OBL-003,Restrict or refuse transaction when customer verification cannot be completed.,REQUIRED_MATCH,kyc_status,REGULATORY_ATTRIBUTE|TRANSFORM_INPUT,KYC_AML_SYSTEM,TRUSTED_EXTERNAL_RESULT,OMIT,NOT_EXTERNALIZED|INTERNAL_AUDIT_ONLY,MANDATORY,required customer verification is not satisfied,Required input must be resolved before outbound handoff.,BLOCK,RETAIN_STATUS_REFERENCE_ONLY,AUDIT_REQUIRED,DIRECT_ENFORCEMENT,LAW_GO_KR::Act on Reporting and Using Specified Financial Transaction Information::Article 5-3::1,LEGAL_REQUIREMENT,TRUE,,EXTERNAL_CONTROL_RESULT,"Legal basis is represented as candidate control, not final legal judgment."
OR-DA-004,KR,Enforcement Decree of Act on Reporting and Using Specified Financial Transaction Information,Article 10-10,1,CURRENT,DA-OBL-004,VASP transfer information duties include originator and beneficiary information handling.,REQUIRED_TRANSFER,originator_identity,REGULATORY_ATTRIBUTE|OUTBOUND_PAYLOAD_FIELD,INTERNAL_CUSTOMER_MASTER,TRUSTED_INTERNAL,MINIMIZE|MAP_TO_EXTERNAL_SCHEMA,TRAVEL_RULE_PROVIDER|EXTERNAL_VASP,MANDATORY,virtual asset transfer between VASPs,Required input must be resolved before outbound handoff.,REVIEW,RETAIN_FOR_REGULATORY_RECORD,AUDIT_REQUIRED,FPG_REQUIRED_INPUT,LAW_GO_KR::Enforcement Decree of Act on Reporting and Using Specified Financial Transaction Information::Article 10-10::1,LEGAL_REQUIREMENT,TRUE,,VASP_INTERNAL,Identity itself is not on-chain; FPG requires a trusted input or result.
OR-DA-005,KR,Enforcement Decree of Act on Reporting and Using Specified Financial Transaction Information,Article 10-10,1,CURRENT,DA-OBL-005,VASP transfer information duties include beneficiary information handling.,REQUIRED_TRANSFER,beneficiary_identity,REGULATORY_ATTRIBUTE|OUTBOUND_PAYLOAD_FIELD,INTERNAL_CUSTOMER_MASTER|TRAVEL_RULE_PROVIDER,TRUSTED_INTERNAL_OR_PROVIDER,MINIMIZE|MAP_TO_EXTERNAL_SCHEMA,TRAVEL_RULE_PROVIDER|EXTERNAL_VASP,MANDATORY,virtual asset transfer between VASPs,Required input must be resolved before outbound handoff.,REVIEW,RETAIN_FOR_REGULATORY_RECORD,AUDIT_REQUIRED,FPG_REQUIRED_INPUT,LAW_GO_KR::Enforcement Decree of Act on Reporting and Using Specified Financial Transaction Information::Article 10-10::1,LEGAL_REQUIREMENT,TRUE,,VASP_INTERNAL,Identity itself is not on-chain; FPG requires a trusted input or result.
OR-DA-006,KR,KoFIU AML/CDD virtual asset guidance,Travel Rule guidance,originator-beneficiary information,CURRENT,DA-OBL-006,Transfer-related originator and beneficiary information should be transmitted or retained for the counterpart VASP.,REQUIRED_INCLUDE,transaction_id,TRACE_FIELD|OUTBOUND_PAYLOAD_FIELD,APPROVED_TRANSACTION|BLOCKCHAIN_EXECUTION_LAYER,APPROVED_INPUT_OR_CHAIN_OBSERVED,PASS_THROUGH,TRAVEL_RULE_PROVIDER|INTERNAL_RECONCILIATION_ONLY,MANDATORY,travel-rule applicable transfer,Required input must be resolved before outbound handoff.,REVIEW,RETAIN_FOR_TRACE,AUDIT_REQUIRED,EXTERNAL_RESULT_CHECK,KOFIU::KoFIU AML/CDD virtual asset guidance::Travel Rule guidance::originator-beneficiary information,LEGAL_REQUIREMENT,TRUE,hash,ONCHAIN_AVAILABLE,Official KoFIU guidance page; exact paragraph remains REVIEW_REQUIRED.
OR-DA-007,KR,Virtual Asset User Protection Act,Article 9,1,CURRENT,DA-OBL-007,"VASP must create, preserve, and make searchable transaction records for virtual asset transactions.",REQUIRED_RETAIN,execution_status,EXECUTION_RESULT_FIELD|TRACE_FIELD,EXTERNAL_EXECUTION_RESPONSE,TRUSTED_EXTERNAL_RESULT,PASS_THROUGH,INTERNAL_RECONCILIATION_ONLY|INTERNAL_AUDIT_ONLY,MANDATORY,after virtual asset transaction,Required input must be resolved before outbound handoff.,BLOCK,RETAIN_FOR_RECONCILIATION,AUDIT_REQUIRED,EXTERNAL_RESULT_CHECK,LAW_GO_KR::Virtual Asset User Protection Act::Article 9::1,LEGAL_REQUIREMENT,TRUE,,MISSING,"FPG records execution handoff/result, not direct asset transfer."
OR-DA-008,GLOBAL,FATF Recommendation 15 Interpretive Note,INR.15,7(b),CURRENT,DA-OBL-008,Originating VASPs obtain and hold required and accurate originator information and required beneficiary information.,REQUIRED_TRANSFER,originator_identity,REGULATORY_ATTRIBUTE|OUTBOUND_PAYLOAD_FIELD,INTERNAL_CUSTOMER_MASTER,TRUSTED_INTERNAL,MINIMIZE|MAP_TO_EXTERNAL_SCHEMA,TRAVEL_RULE_PROVIDER|EXTERNAL_VASP,MANDATORY,virtual asset transfer,Required input must be resolved before outbound handoff.,REVIEW,RETAIN_FOR_REGULATORY_RECORD,AUDIT_REQUIRED,FPG_REQUIRED_INPUT,FATF::FATF Recommendation 15 Interpretive Note::INR.15::7(b),LEGAL_REQUIREMENT,TRUE,,VASP_INTERNAL,FATF official public statement with INR.15 draft/final adoption context.
OR-DA-009,GLOBAL,FATF Recommendation 15 Interpretive Note,INR.15,7(b),CURRENT,DA-OBL-009,Beneficiary VASPs obtain and hold required originator information and required and accurate beneficiary information.,REQUIRED_TRANSFER,beneficiary_identity,REGULATORY_ATTRIBUTE|OUTBOUND_PAYLOAD_FIELD,INTERNAL_CUSTOMER_MASTER|TRAVEL_RULE_PROVIDER,TRUSTED_INTERNAL_OR_PROVIDER,MINIMIZE|MAP_TO_EXTERNAL_SCHEMA,TRAVEL_RULE_PROVIDER|EXTERNAL_VASP,MANDATORY,virtual asset transfer,Required input must be resolved before outbound handoff.,REVIEW,RETAIN_FOR_REGULATORY_RECORD,AUDIT_REQUIRED,FPG_REQUIRED_INPUT,FATF::FATF Recommendation 15 Interpretive Note::INR.15::7(b),LEGAL_REQUIREMENT,TRUE,,VASP_INTERNAL,FATF official public statement with INR.15 draft/final adoption context.
OR-DA-010,GLOBAL,FATF Recommendations,Recommendation 16,payment transparency,CURRENT,DA-OBL-010,Wire transfer transparency requirements inform originator/beneficiary information controls for virtual asset transfers.,REQUIRED_INCLUDE,transaction_id,TRACE_FIELD|OUTBOUND_PAYLOAD_FIELD,APPROVED_TRANSACTION|BLOCKCHAIN_EXECUTION_LAYER,APPROVED_INPUT_OR_CHAIN_OBSERVED,PASS_THROUGH,TRAVEL_RULE_PROVIDER|INTERNAL_RECONCILIATION_ONLY,MANDATORY,transfer transparency requirement applies,Required input must be resolved before outbound handoff.,REVIEW,RETAIN_FOR_TRACE,AUDIT_REQUIRED,EXTERNAL_RESULT_CHECK,FATF::FATF Recommendations::Recommendation 16::payment transparency,LEGAL_REQUIREMENT,TRUE,hash,ONCHAIN_AVAILABLE,FATF Recommendations page observed as amended June 2026.
