required_field,legal_control,ethereum_field,availability_class,derivation_method,confidence,evidence,note
originator_identity,DA-OBL-004|DA-OBL-008,,VASP_INTERNAL,"Blockchain from_address is wallet address, not legal originator identity.",high,Ethereum schema has from_address but not customer identity.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
beneficiary_identity,DA-OBL-005|DA-OBL-009,,VASP_INTERNAL,"Blockchain to_address is wallet/contract address, not legal beneficiary identity.",high,Ethereum schema has to_address but not customer identity.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
originator_address,ANALYSIS_REQUIRED,from_address,ONCHAIN_AVAILABLE,Use transaction from_address.,high,Present in Ethereum transactions.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
beneficiary_address,ANALYSIS_REQUIRED,to_address,ONCHAIN_AVAILABLE,Use transaction to_address; missing for contract creation.,high,Present in Ethereum transactions with nullable contract-creation cases.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
amount,ANALYSIS_REQUIRED,value_eth|value_wei,ONCHAIN_AVAILABLE,Convert value_wei to ETH as value_eth.,high,Present in Ethereum transactions.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
asset,DA-OBL-013,,DERIVABLE_FROM_ONCHAIN,Native ETH is derivable from chain context for this sample; token asset needs logs/token_transfers.,medium,"This sample is native transaction table, not token-transfer table.",v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
counterparty_vasp,DA-OBL-001,,VASP_INTERNAL,Requires VASP/customer registry or counterparty VASP verification service.,high,Not present on public chain.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
kyc_status,DA-OBL-002|DA-OBL-003,,EXTERNAL_CONTROL_RESULT,Requires KYC/compliance provider or VASP internal result.,high,Not present on public chain.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
transaction_id,DA-OBL-006|DA-OBL-010,hash,ONCHAIN_AVAILABLE,Use Ethereum transaction hash.,high,Present and unique in sample.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
tx_hash,ANALYSIS_REQUIRED,hash,ONCHAIN_AVAILABLE,Use Ethereum transaction hash.,high,Present and unique in sample.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
execution_status,DA-OBL-007|DA-OBL-011|DA-OBL-012,,MISSING,Receipt status extraction was rate-limited or unavailable in the local sample.,high,Not populated in ethereum_transactions_sample.csv.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
timestamp,ANALYSIS_REQUIRED,block_timestamp,ONCHAIN_AVAILABLE,Use block timestamp.,high,Present via block data.,v3 mapping uses Ethereum transaction-level data as MAIN_TRANSACTION_DATA.
