evidence_id,issue_type,source_accessed,source_verified,text_verified,location_verified,structured_fields_verified,tags_verified,previous_status,final_status,review_note
EV-00005,OTHER,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 개인정보 보호법 제28조의3 제3항 원문과 조항 위치를 확인했고 구조화 필드는 시행령 위임 범위만 남김.
EV-00007,OTHER,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 개인정보 보호법 제28조의4 제2항 원문 확인. 가명정보 처리기간을 별도로 정할 수 있다는 허용 범위로 한정.
EV-00008,ENCODING_ERROR,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,기존 한글 깨짐을 공식 개인정보 보호법 제28조의4 제3항 원문으로만 복구.
EV-00011,OTHER,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 신용정보법 시행령 제32조 제1항에서 동의 철회 방법 원문과 위치를 확인.
EV-00012,OTHER,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 신용정보법 시행령 제32조 제2항에서 마케팅 연락중지 청구 원문과 위치를 확인.
EV-00017,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 개인정보 보호법 제26조 제2항 원문 확인 후 위탁 공개의무 범위로 구조화 필드 축소.
EV-00021,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 개인정보 보호법 제28조의8 제1항 본문과 단서를 확인해 금지와 예외를 함께 유지.
EV-00022,TAG_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 개인정보 보호법 제28조의8 제1항 제1호 확인. 별도 동의에 따른 국외이전 예외로 태그 보정.
EV-00024,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 개인정보 보호법 제28조의8 제2항 고지 항목 1~5호 확인. 고지의무로 한정.
EV-00025,SOURCE_NOT_CONFIRMED,N,N,N,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,기록된 admRulSeq=2100000282622 원문에 직접 접근하지 못해 기존 한글 깨짐과 조항 위치를 확정하지 않음.
EV-00027,SOURCE_NOT_CONFIRMED,N,N,N,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,기록된 admRulSeq=2100000282622 원문에 직접 접근하지 못해 제14조 제6호 위치와 구조화 필드를 확정하지 않음.
EV-00029,SOURCE_NOT_CONFIRMED,N,N,N,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,정확한 행정규칙 원문 버전 접근이 되지 않아 제14조의2 세부목 위치와 해석을 확정하지 않음.
EV-00044,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 금융위원회 보도자료 본문에서 SaaS 금지와 가명정보 예외를 직접 확인.
EV-00045,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,"공식 금융위원회 보도자료 본문에서 SaaS 평가, 단말 보호대책, 반기 평가ㆍ보고 의무를 확인."
EV-00046,LOCATION_NOT_CONFIRMED,Y,Y,N,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,공식 FSC 게시글은 접근했으나 Evidence가 참조하는 PDF 5쪽 원문 위치를 직접 확인하지 못함.
EV-00047,LOCATION_NOT_CONFIRMED,Y,Y,N,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,공식 FSC 게시글은 접근했으나 Evidence가 참조하는 PDF 6쪽 원문 위치를 직접 확인하지 못함.
EV-00050,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 가상자산이용자보호법 제6조 제1항 원문 확인 후 예치금 분리관리 의무로 한정.
EV-00051,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 가상자산이용자보호법 제6조 제3항 원문 확인. 상계ㆍ압류 금지와 양도ㆍ담보 제한을 반영.
EV-00052,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 가상자산이용자보호법 시행령 제8조 제2항 원문 확인. 관리기관 계약 체결 의무로 한정.
EV-00053,LOCATION_NOT_CONFIRMED,Y,Y,Y,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.
