rule_id,previous_decision,final_decision,evidence_refs_before,evidence_refs_after,verified_evidence_count,review_required_evidence_count,invalid_evidence_count,decision_supported,controls_supported,boundary_violation,action,reason
GR-0001,TRANSFORM,TRANSFORM,EV-00001;EV-00003;EV-00004;EV-00006;EV-00010,EV-00001;EV-00003;EV-00004;EV-00006;EV-00010,5,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0002,BLOCK,BLOCK,EV-00009,EV-00009,1,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0003,BLOCK,BLOCK,EV-00002,EV-00002,1,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0004,BLOCK,BLOCK,EV-00015;EV-00019,EV-00015;EV-00019,2,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0005,REVIEW,REVIEW,EV-00014;EV-00018;EV-00020,EV-00014;EV-00018;EV-00020,3,0,0,Y,Y,N,UPDATE,unsupported required_controls removed or reduced to VERIFIED-supported controls
GR-0006,REVIEW,REVIEW,EV-00023,EV-00023,1,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0007,BLOCK,BLOCK,EV-00032,EV-00032,1,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0008,REVIEW,REVIEW,EV-00026;EV-00033;EV-00034;EV-00038;EV-00039;EV-00049,EV-00026;EV-00033;EV-00034;EV-00038;EV-00039;EV-00049,6,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0009,TRANSFORM,TRANSFORM,EV-00040,EV-00040,1,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0010,BLOCK,BLOCK,EV-00042,EV-00042,1,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0011,REVIEW,REVIEW,EV-00035;EV-00036;EV-00037;EV-00041,EV-00035;EV-00036;EV-00037;EV-00041,4,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0012,REVIEW,REVIEW,EV-00028;EV-00043;EV-00048,EV-00028;EV-00043;EV-00048,3,0,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0013,REVIEW,REVIEW,EV-00013;EV-00016;EV-00030;EV-00031,EV-00013;EV-00016;EV-00030;EV-00031,4,0,0,Y,Y,N,UPDATE,unsupported required_controls removed or reduced to VERIFIED-supported controls
GR-0014,REVIEW,REVIEW,EV-00005;EV-00007;EV-00008,EV-00005;EV-00007;EV-00008,3,0,0,Y,Y,N,UPDATE,condition label updated because referenced Evidence is now VERIFIED but still requires human legal/policy review; rule_name updated to remove stale source-review wording
GR-0015,REVIEW,REVIEW,EV-00011;EV-00012,EV-00011;EV-00012,2,0,0,Y,Y,N,UPDATE,condition label updated because referenced Evidence is now VERIFIED but still requires human legal/policy review; rule_name updated to remove stale source-review wording
GR-0016,REVIEW,REVIEW,EV-00017,EV-00017,1,0,0,Y,Y,N,UPDATE,condition label updated because referenced Evidence is now VERIFIED but still requires human legal/policy review; rule_name updated to remove stale source-review wording
GR-0017,REVIEW,REVIEW,EV-00021;EV-00022;EV-00024,EV-00021;EV-00022;EV-00024,3,0,0,Y,Y,N,UPDATE,condition label updated because referenced Evidence is now VERIFIED but still requires human legal/policy review; rule_name updated to remove stale source-review wording
GR-0018,REVIEW,REVIEW,EV-00025;EV-00027,EV-00025;EV-00027,0,2,0,Y,Y,N,UPDATE,unsupported required_controls removed or reduced to VERIFIED-supported controls
GR-0019,REVIEW,REVIEW,EV-00029;EV-00044;EV-00045;EV-00046;EV-00047,EV-00029;EV-00044;EV-00045;EV-00046;EV-00047,2,3,0,Y,Y,N,UPDATE,unsupported required_controls removed or reduced to VERIFIED-supported controls
GR-0020,REVIEW,REVIEW,EV-00050;EV-00051;EV-00052,EV-00050;EV-00051;EV-00052,3,0,0,Y,Y,N,UPDATE,condition label updated because referenced Evidence is now VERIFIED but still requires human legal/policy review; rule_name updated to remove stale source-review wording
GR-0021,REVIEW,REVIEW,EV-00053;EV-00054;EV-00055,EV-00053;EV-00054;EV-00055,0,3,0,Y,Y,N,KEEP,"decision, evidence_refs, and controls reconcile with frozen Evidence"
GR-0022,REVIEW,REVIEW,EV-00056;EV-00057;EV-00058;EV-00059,EV-00056;EV-00057;EV-00058;EV-00059,2,2,0,Y,Y,N,UPDATE,unsupported required_controls removed or reduced to VERIFIED-supported controls
