transfer_id,originator_address,beneficiary_address,originator_identity,beneficiary_identity,kyc_status,counterparty_vasp_status,approved_asset,approved_amount_limit_eth,approved_destination,approved_period_start,approved_period_end,requested_asset,requested_amount_eth,requested_destination,requested_at,transaction_identifier,tx_hash,execution_status,ethereum_block_number,ethereum_transaction_index,baseline_policy_decision
DA-V3-00001,0x14ffd5d4f0c48e3e79d8346b85917e092b0c52d2,0xda7afeed01fe625cf15d187a19f94b45f00b8c5f,VASPCUST-S-0000,VASPCUST-B-0000,FAILED,UNKNOWN,ETH,0.05,0xda7afeed01fe625cf15d187a19f94b45f00b8c5f,2026-01-01T00:00:00+00:00,2026-01-15T23:59:59+00:00,UNAPPROVED_TOKEN,7.0,0x000000000000000000000000000000000000dEaD,2026-09-07T00:01:59+00:00,0xd438e71938f41a806966da30ff354c350739863b9c1e2ab5d121f287edab9b22,0xd438e71938f41a806966da30ff354c350739863b9c1e2ab5d121f287edab9b22,UNKNOWN_STATUS_NOT_EXTRACTED,25921763,0,REVIEW
DA-V3-00002,0x21cb492117ba484303da6108c31c6c12f573a67e,0x0411f0ff4105fdc075e5e1bfdab47183c1b9df78,VASPCUST-S-0001,VASPCUST-B-0001,VERIFIED,VERIFIED,ETH,0.25,0x0411f0ff4105fdc075e5e1bfdab47183c1b9df78,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.021118945,0x0411f0ff4105fdc075e5e1bfdab47183c1b9df78,2026-09-07T00:02:59+00:00,0x3b3c856b917e8dc1c4e0a4a71774ffb59e5e73d19ced831b112362cfdff9e77d,0x3b3c856b917e8dc1c4e0a4a71774ffb59e5e73d19ced831b112362cfdff9e77d,UNKNOWN_STATUS_NOT_EXTRACTED,25921763,43,PASS
DA-V3-00003,0xac24cb76cd81570a8f4538fa49d6b22c8c10c7f0,0x4cd00e387622c35bddb9b4c962c136462338bc31,VASPCUST-S-0002,VASPCUST-B-0002,VERIFIED,VERIFIED,ETH,1.0,0x4cd00e387622c35bddb9b4c962c136462338bc31,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.004452047403323,0x4cd00e387622c35bddb9b4c962c136462338bc31,2026-09-07T00:03:59+00:00,0xf3504fc89187dc378255192d5d130ef64b5ae2510169eb4234537397f295ca9b,0xf3504fc89187dc378255192d5d130ef64b5ae2510169eb4234537397f295ca9b,UNKNOWN_STATUS_NOT_EXTRACTED,25921763,86,PASS
DA-V3-00004,0x06fd4ba7973a0d39a91734bbc35bc2bcaa99e3b0,0x25f8087ead173b73d6e8b84329989a8eea16cf73,VASPCUST-S-0003,VASPCUST-B-0003,VERIFIED,VERIFIED,ETH,5.0,0x25f8087ead173b73d6e8b84329989a8eea16cf73,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,1.012615e-05,0x25f8087ead173b73d6e8b84329989a8eea16cf73,2026-09-07T00:04:59+00:00,0x20ea73c42a8b932b28a44a924dffa225ce834b3300c92f85e537e3161f091e21,0x20ea73c42a8b932b28a44a924dffa225ce834b3300c92f85e537e3161f091e21,UNKNOWN_STATUS_NOT_EXTRACTED,25921763,129,PASS
DA-V3-00005,0x05a9efd416d3ffa79c645e161b6d5f32db1f2cfc,0xf97327a3b50d82b8d8c5de2eb2ef7f5278278b6d,VASPCUST-S-0004,VASPCUST-B-0004,VERIFIED,VERIFIED,ETH,20.0,0xf97327a3b50d82b8d8c5de2eb2ef7f5278278b6d,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.001968647,0xf97327a3b50d82b8d8c5de2eb2ef7f5278278b6d,2026-09-07T00:05:59+00:00,0x98a183c98a8be9a66a06b1bf3d2e6958299b4293574dfae04b548be21c4bf65c,0x98a183c98a8be9a66a06b1bf3d2e6958299b4293574dfae04b548be21c4bf65c,UNKNOWN_STATUS_NOT_EXTRACTED,25921763,172,PASS
DA-V3-00006,0xbe0b407782a7599380fa726db315340126d62229,0xdac17f958d2ee523a2206206994597c13d831ec7,VASPCUST-S-0005,VASPCUST-B-0005,VERIFIED,VERIFIED,ETH,0.05,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.0012,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-09-07T00:06:59+00:00,0x6875c66246d79999fbda56c8984676e8511ef4c1371d2a87298d7517a964f726,0x6875c66246d79999fbda56c8984676e8511ef4c1371d2a87298d7517a964f726,UNKNOWN_STATUS_NOT_EXTRACTED,25921763,215,PASS
DA-V3-00007,0xf9b6a1eb0190bf76274b0876957ee9f4f508af41,0xdfaa75323fb721e5f29d43859390f62cc4b600b8,VASPCUST-S-0006,VASPCUST-B-0006,VERIFIED,VERIFIED,ETH,0.25,0xdfaa75323fb721e5f29d43859390f62cc4b600b8,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.00383,0xdfaa75323fb721e5f29d43859390f62cc4b600b8,2026-09-07T00:07:59+00:00,0xae699c6bbd49794ea8a0adf9e6d00371a4a3c1a6663c6853ef44db0d9c1c8185,0xae699c6bbd49794ea8a0adf9e6d00371a4a3c1a6663c6853ef44db0d9c1c8185,UNKNOWN_STATUS_NOT_EXTRACTED,25921762,38,PASS
DA-V3-00008,0xada5bb90d0de0bd1b6f3938708f49295a8d1f7cb,0xdac17f958d2ee523a2206206994597c13d831ec7,VASPCUST-S-0007,VASPCUST-B-0007,VERIFIED,VERIFIED,ETH,1.0,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,1.2376358043e-05,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-09-07T00:08:59+00:00,0x5d1580e168ca40bbb66757c96878e8f90e2fbf60817a25bb26219c50a6852e1a,0x5d1580e168ca40bbb66757c96878e8f90e2fbf60817a25bb26219c50a6852e1a,UNKNOWN_STATUS_NOT_EXTRACTED,25921762,81,PASS
DA-V3-00009,0x74b0275a268958ac4eed54df34ed7fefef28e434,0xf31698ddad0d11160fe85c500397a470cd3d492e,VASPCUST-S-0008,VASPCUST-B-0008,PENDING,VERIFIED,ETH,5.0,0xf31698ddad0d11160fe85c500397a470cd3d492e,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,2.5921755e-11,0xf31698ddad0d11160fe85c500397a470cd3d492e,2026-09-07T00:09:47+00:00,0xf6ba9bfd0d467ef990deb4b599a8847ce812d53d6a3150cbf78dfd0aad7968d4,0xf6ba9bfd0d467ef990deb4b599a8847ce812d53d6a3150cbf78dfd0aad7968d4,UNKNOWN_STATUS_NOT_EXTRACTED,25921762,124,REVIEW
DA-V3-00010,0x1bdde64c1e7fcfcdce68edfe2414be52638251d0,0xdac17f958d2ee523a2206206994597c13d831ec7,VASPCUST-S-0009,VASPCUST-B-0009,VERIFIED,VERIFIED,ETH,20.0,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.07867364215025366,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-09-07T00:10:47+00:00,0xc0da0c2b41324d52de58810ee14a49338753f382b59b3c78e983fdc2215da903,0xc0da0c2b41324d52de58810ee14a49338753f382b59b3c78e983fdc2215da903,UNKNOWN_STATUS_NOT_EXTRACTED,25921762,167,PASS
