rule_id,rule_name,domain,priority,when,evidence_refs,decision,audit
GR-0001,Pseudonymized data permitted-purpose protection,PRIVACY,300,"{""data_type"": [""가명정보""], ""processing_context"": [""pseudonymized_data_processing""], ""destination"": [], ""conditions"": [""permitted_pseudonymized_processing_purpose"", ""mapping_information_present"", ""reidentification_risk_not_detected""]}","[""EV-00001"", ""EV-00003"", ""EV-00004"", ""EV-00006"", ""EV-00010""]","{""action"": ""TRANSFORM"", ""required_controls"": [""PSEUDONYMIZE"", ""SEPARATE_MAPPING""], ""transform_required"": true, ""human_review_required"": false}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0002,Re-identification purpose blocked,PRIVACY,100,"{""data_type"": [""가명정보""], ""processing_context"": [""pseudonymized_data_processing""], ""destination"": [], ""conditions"": [""reidentification_purpose_detected""]}","[""EV-00009""]","{""action"": ""BLOCK"", ""required_controls"": [""NO_REIDENTIFICATION"", ""BLOCK""], ""transform_required"": false, ""human_review_required"": false}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0003,Pseudonymized data transfer with identifying information blocked,PRIVACY,101,"{""data_type"": [""가명정보""], ""processing_context"": [""pseudonymized_data_processing"", ""third_party_or_outsourcing""], ""destination"": [""third_party_or_outsourcing""], ""conditions"": [""identifying_information_included_for_transfer""]}","[""EV-00002""]","{""action"": ""BLOCK"", ""required_controls"": [""BLOCK""], ""transform_required"": false, ""human_review_required"": false}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0004,Outsourced personal data use outside entrusted purpose blocked,PRIVACY,102,"{""data_type"": [""개인정보""], ""processing_context"": [""third_party_or_outsourcing""], ""destination"": [""third_party_or_outsourcing""], ""conditions"": [""outside_entrusted_purpose"", ""unauthorized_third_party_provision""]}","[""EV-00015"", ""EV-00019""]","{""action"": ""BLOCK"", ""required_controls"": [""BLOCK""], ""transform_required"": false, ""human_review_required"": false}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0005,Personal data outsourcing governance review,PRIVACY,200,"{""data_type"": [""개인정보""], ""processing_context"": [""third_party_or_outsourcing""], ""destination"": [""third_party_or_outsourcing""], ""conditions"": [""outsourcing_contract_or_supervision_check_required""]}","[""EV-00014"", ""EV-00018"", ""EV-00020""]","{""action"": ""REVIEW"", ""required_controls"": [""MONITOR""], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0006,Cross-border personal data transfer review,PRIVACY,201,"{""data_type"": [""개인정보""], ""processing_context"": [""cross_border_transfer""], ""destination"": [""cross_border_transfer""], ""conditions"": [""cross_border_transfer_possible"", ""data_subject_notice_check_required""]}","[""EV-00023""]","{""action"": ""REVIEW"", ""required_controls"": [], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0007,Internal business system external network connection blocked,SAAS_CLOUD,103,"{""data_type"": [""내부 업무용시스템""], ""processing_context"": [""network_separation"", ""saas_cloud_use""], ""destination"": [""external_network""], ""conditions"": [""internal_business_system_external_network_connection""]}","[""EV-00032""]","{""action"": ""BLOCK"", ""required_controls"": [""BLOCK""], ""transform_required"": false, ""human_review_required"": false}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0008,Information security controls review,PRIVACY,202,"{""data_type"": [""정보처리시스템"", ""전자금융거래"", ""이용자의 비밀번호"", ""AI/SaaS"", ""중요정보""], ""processing_context"": [""security_control"", ""ai_use"", ""saas_cloud_use""], ""destination"": [""external_ai"", ""saas_cloud""], ""conditions"": [""security_control_required"", ""sensitive_or_important_information_processed""]}","[""EV-00026"", ""EV-00033"", ""EV-00034"", ""EV-00038"", ""EV-00039"", ""EV-00049""]","{""action"": ""REVIEW"", ""required_controls"": [""ENCRYPT"", ""LOG"", ""MONITOR""], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0009,AI input privacy transform required,AI,301,"{""data_type"": [""고유식별정보"", ""개인정보"", ""개인신용정보""], ""processing_context"": [""ai_use""], ""destination"": [""external_ai""], ""conditions"": [""ai_input_contains_personal_or_credit_information""]}","[""EV-00040""]","{""action"": ""TRANSFORM"", ""required_controls"": [""DETECT""], ""transform_required"": true, ""human_review_required"": false}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0010,AI model improvement data reuse blocked,AI,104,"{""data_type"": [""데이터""], ""processing_context"": [""ai_use""], ""destination"": [""external_ai""], ""conditions"": [""model_improvement_reuse_possible_or_not_contractually_blocked""]}","[""EV-00042""]","{""action"": ""BLOCK"", ""required_controls"": [""BLOCK""], ""transform_required"": false, ""human_review_required"": false}","{""log_required"": true, ""evidence_trace_required"": true}"
