evidence_id,issue_type,source_accessed,source_verified,text_verified,location_verified,structured_fields_verified,tags_verified,previous_status,final_status,review_note
EV-00050,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 가상자산이용자보호법 제6조 제1항 원문 확인 후 예치금 분리관리 의무로 한정.
EV-00051,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 가상자산이용자보호법 제6조 제3항 원문 확인. 상계ㆍ압류 금지와 양도ㆍ담보 제한을 반영.
EV-00052,STRUCTURED_FIELD_OVERINTERPRETATION,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 가상자산이용자보호법 시행령 제8조 제2항 원문 확인. 관리기관 계약 체결 의무로 한정.
EV-00053,LOCATION_NOT_CONFIRMED,Y,Y,Y,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.
EV-00054,LOCATION_NOT_CONFIRMED,Y,Y,Y,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.
EV-00055,LOCATION_NOT_CONFIRMED,Y,Y,Y,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.
EV-00056,SOURCE_NOT_CONFIRMED,N,N,N,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,기록된 시행령 제10조의10 source_url 원문을 공식 페이지에서 직접 확인하지 못해 검증 보류.
EV-00057,SOURCE_NOT_CONFIRMED,N,N,N,N,N,N,REVIEW_REQUIRED,REVIEW_REQUIRED,기록된 시행령 제10조의10 source_url 원문을 공식 페이지에서 직접 확인하지 못해 검증 보류.
EV-00058,OTHER,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 금융위원회 정책자료에서 트래블룰 기준금액 삭제 및 해외 사업자ㆍ개인지갑 거래 AML 의무 문구 확인.
EV-00059,ENCODING_ERROR,Y,Y,Y,Y,Y,Y,REVIEW_REQUIRED,VERIFIED,공식 금융정보분석원 CDD 안내 원문으로만 한글 깨짐을 복구하고 구조화 필드를 원문 의미로 제한.
