evidence_id,source_id,source_type,source_name,article,paragraph,page,section,original_text,applies_to,data_type,condition,required_action,prohibition,exception,effective_date,source_url,retrieved_at,review_status,validation_errors
EV-00001,law_pipa,law,개인정보 보호법,제28조의2,①,,,"개인정보처리자는 통계작성, 과학적 연구, 공익적 기록보존 등을 위하여 정보주체의 동의 없이 가명정보를 처리할 수 있다.",개인정보처리자,가명정보,"통계작성, 과학적 연구, 공익적 기록보존",,,동의 없이,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,PENDING,
EV-00002,law_pipa,law,개인정보 보호법,제28조의2,②,,,개인정보처리자는 제1항에 따라 가명정보를 제3자에게 제공하는 경우에는 특정 개인을 알아보기 위하여 사용될 수 있는 정보를 포함해서는 아니 된다.,개인정보처리자,가명정보,제3자에게 제공하는 경우,,포함해서는 아니 된다,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,PENDING,
EV-00003,law_pipa,law,개인정보 보호법,제28조의3,①,,,"제28조의2에도 불구하고 통계작성, 과학적 연구, 공익적 기록보존 등을 위한 서로 다른 개인정보처리자 간의 가명정보의 결합은 보호위원회 또는 관계 중앙행정기관의 장이 지정하는 전문기관이 수행한다.",개인정보처리자,가명정보,"통계작성, 과학적 연구, 공익적 기록보존",서로 다른 개인정보처리자 간의 가명정보의 결합은 보호위원회 또는 관계 중앙행정기관의 장이 지정하는 전문기관이 수행한다,,제28조의2에도 불구하고,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,PENDING,
EV-00004,law_pipa,law,개인정보 보호법,제28조의3,②,,,결합을 수행한 기관 외부로 결합된 정보를 반출하려는 개인정보처리자는 가명정보 또는 제58조의2에 해당하는 정보로 처리한 뒤 전문기관의 장의 승인을 받아야 한다.,개인정보처리자,가명정보,기관 외부로 결합된 정보를 반출하려는,가명정보 또는 제58조의2에 해당하는 정보로 처리한 뒤 전문기관의 장의 승인을 받아야 한다,,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,PENDING,
EV-00005,law_pipa,law,개인정보 보호법,제28조의3,③,,,"제1항에 따른 결합 절차와 방법, 전문기관의 지정과 지정 취소 기준ㆍ절차, 관리ㆍ감독, 제2항에 따른 반출 및 승인 기준ㆍ절차 등 필요한 사항은 대통령령으로 정한다.",,,,,,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,REVIEW_REQUIRED,
EV-00006,law_pipa,law,개인정보 보호법,제28조의4,①,,,개인정보처리자는 제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 경우에는 원래의 상태로 복원하기 위한 추가 정보를 별도로 분리하여 보관ㆍ관리하는 등 해당 정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 않도록 대통령령으로 정하는 바에 따라 안전성 확보에 필요한 기술적ㆍ관리적 및 물리적 조치를 하여야 한다.,개인정보처리자,가명정보,가명정보를 처리하는 경우,원래의 상태로 복원하기 위한 추가 정보를 별도로 분리하여 보관ㆍ관리하는 등 해당 정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 않도록 대통령령으로 정하는 바에 따라 안전성 확보에 필요한 기술적ㆍ관리적 및 물리적 조치를 하여야 한다,,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,PENDING,
EV-00007,law_pipa,law,개인정보 보호법,제28조의4,②,,,개인정보처리자는 제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 경우 처리목적 등을 고려하여 가명정보의 처리 기간을 별도로 정할 수 있다.,개인정보처리자,가명정보,가명정보를 처리하는 경우,,,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,REVIEW_REQUIRED,
EV-00008,law_pipa,law,개인정보 보호법,제28조의4,③,,,"개인정보처리자는 제28조의2 또는 제28조의3에 따라 가명정보를 처리하고자 하는 경우에는 가명정보의 처리 목적, 제3자 제공 시 제공받는 자, 가명정보의 처리 기간 등 가명정보의 처리 내용을 관리하기 위하여 대통령령으로 정하는 사항에 대한 관련 기록을 작성하여 보관하여야 하며, 가명정보를 파기한 경우에는 파기한 날부터 3년 이상 보관하여야 한다.",개인정보처리자,가명정보,가명정보를 처리하고자 하는 경우,"가명정보의 처리 목적, 제3자 제공 시 제공받는 자, 가명정보의 처리 기간 등 가명정보의 처리 내용을 관리하기 위하여 대통령령으로 정하는 사항에 대한 관련 기록을 작성하여 보관하여야 하며, 가명정보를 파기한 경우에는 파기한 날부터 3년 이상 보관하여야 한다",,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,PENDING,
EV-00009,law_pipa,law,개인정보 보호법,제28조의5,①,,,제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 자는 특정 개인을 알아보기 위한 목적으로 가명정보를 처리해서는 아니 된다.,제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 자,가명정보,특정 개인을 알아보기 위한 목적,,특정 개인을 알아보기 위한 목적으로 가명정보를 처리해서는 아니 된다,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,PENDING,
EV-00010,law_pipa,law,개인정보 보호법,제28조의5,②,,,"개인정보처리자는 제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 과정에서 특정 개인을 알아볼 수 있는 정보가 생성된 경우에는 즉시 해당 정보의 처리를 중지하고, 지체 없이 회수ㆍ파기하여야 한다.",개인정보처리자,가명정보,특정 개인을 알아볼 수 있는 정보가 생성된 경우,"처리를 중지하고, 지체 없이 회수ㆍ파기하여야 한다",,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,PENDING,
EV-00011,law_credit_info,enforcement_decree,신용정보의 이용 및 보호에 관한 법률 시행령,제32조,①,,,"법 제37조제1항에 따라 개인인 신용정보주체는 동의 철회의 대상 및 내용 등을 특정하여 해당 기관의 인터넷 홈페이지, 유무선 통신, 서면, 그 밖에 금융위원회가 정하여 고시하는 방법으로 동의를 철회할 수 있다.",개인인 신용정보주체,,,,,,2026-08-13,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=108619,2026-08-26T11:32:00+09:00,REVIEW_REQUIRED,
EV-00012,law_credit_info,enforcement_decree,신용정보의 이용 및 보호에 관한 법률 시행령,제32조,②,,,법 제37조제2항에 따라 개인인 신용정보주체는 상품이나 용역을 소개하거나 구매를 권유할 목적으로 연락하는 신용정보제공ㆍ이용자에 대하여 연락중지 청구의 대상 및 내용을 특정하여 제1항의 방법으로 본인에게 연락하는 것을 중지할 것을 청구할 수 있다.,신용정보제공ㆍ이용자,,,,,,2026-08-13,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=108619,2026-08-26T11:32:00+09:00,REVIEW_REQUIRED,
EV-00013,law_credit_info,enforcement_decree,신용정보의 이용 및 보호에 관한 법률 시행령,제32조,③,,,제1항 및 제2항에 따른 청구를 받은 신용정보제공ㆍ이용자는 청구를 받은 날부터 1개월 이내에 그에 따른 조치를 완료하여야 한다.,신용정보제공ㆍ이용자,,청구를 받은 날부터 1개월 이내,청구를 받은 날부터 1개월 이내에 그에 따른 조치를 완료하여야 한다,,,2026-08-13,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=108619,2026-08-26T11:32:00+09:00,PENDING,
EV-00014,law_pipa,law,개인정보 보호법,제26조,①,,,개인정보처리자가 제3자에게 개인정보의 처리 업무를 위탁하는 경우에는 다음 각 호의 내용이 포함된 문서로 하여야 한다.,개인정보처리자,개인정보,제3자에게 개인정보의 처리 업무를 위탁하는 경우,다음 각 호의 내용이 포함된 문서로 하여야 한다,,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,PENDING,
EV-00015,law_pipa,law,개인정보 보호법,제26조,①-1,,,위탁업무 수행 목적 외 개인정보의 처리 금지에 관한 사항,,개인정보,위탁업무 수행 목적 외,,위탁업무 수행 목적 외 개인정보의 처리 금지,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,PENDING,
EV-00016,law_pipa,law,개인정보 보호법,제26조,①-2,,,개인정보의 기술적ㆍ관리적 보호조치에 관한 사항,,개인정보,,개인정보의 기술적ㆍ관리적 보호조치,,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,PENDING,
EV-00017,law_pipa,law,개인정보 보호법,제26조,②,,,"제1항에 따라 개인정보의 처리 업무를 위탁하는 개인정보처리자(이하 ""위탁자""라 한다)는 위탁하는 업무의 내용과 개인정보 처리 업무를 위탁받아 처리하는 자(개인정보 처리 업무를 위탁받아 처리하는 자로부터 위탁받은 업무를 다시 위탁받은 제3자를 포함하며, 이하 ""수탁자""라 한다)를 정보주체가 언제든지 쉽게 확인할 수 있도록 대통령령으로 정하는 방법에 따라 공개하여야 한다.",위탁자,개인정보,제1항에 따라 개인정보의 처리 업무를 위탁하는,위탁하는 업무의 내용과 개인정보 처리 업무를 위탁받아 처리하는 자를 정보주체가 언제든지 쉽게 확인할 수 있도록 대통령령으로 정하는 방법에 따라 공개하여야 한다,,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,PENDING,
EV-00018,law_pipa,law,개인정보 보호법,제26조,④,,,"위탁자는 업무 위탁으로 인하여 정보주체의 개인정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 아니하도록 수탁자를 교육하고, 처리 현황 점검 등 대통령령으로 정하는 바에 따라 수탁자가 개인정보를 안전하게 처리하는지를 감독하여야 한다.",위탁자,개인정보,업무 위탁으로 인하여 정보주체의 개인정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 아니하도록,"수탁자를 교육하고, 처리 현황 점검 등 대통령령으로 정하는 바에 따라 수탁자가 개인정보를 안전하게 처리하는지를 감독하여야 한다",,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,PENDING,
EV-00019,law_pipa,law,개인정보 보호법,제26조,⑤,,,수탁자는 개인정보처리자로부터 위탁받은 해당 업무 범위를 초과하여 개인정보를 이용하거나 제3자에게 제공하여서는 아니 된다.,수탁자,개인정보,개인정보처리자로부터 위탁받은 해당 업무 범위를 초과하여,,개인정보를 이용하거나 제3자에게 제공하여서는 아니 된다,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,PENDING,
EV-00020,law_pipa,law,개인정보 보호법,제26조,⑥,,,수탁자는 위탁받은 개인정보의 처리 업무를 제3자에게 다시 위탁하려는 경우에는 위탁자의 동의를 받아야 한다.,수탁자,개인정보,위탁받은 개인정보의 처리 업무를 제3자에게 다시 위탁하려는 경우,위탁자의 동의를 받아야 한다,,,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,PENDING,
EV-00021,law_pipa,law,개인정보 보호법,제28조의8,①,,,"개인정보처리자는 개인정보를 국외로 제공(조회되는 경우를 포함한다)ㆍ처리위탁ㆍ보관(이하 이 절에서 ""이전""이라 한다)하여서는 아니 된다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 개인정보를 국외로 이전할 수 있다.",개인정보처리자,개인정보,개인정보를 국외로 제공(조회되는 경우를 포함한다)ㆍ처리위탁ㆍ보관,,개인정보를 국외로 제공ㆍ처리위탁ㆍ보관하여서는 아니 된다,다음 각 호의 어느 하나에 해당하는 경우에는 개인정보를 국외로 이전할 수 있다,2025-10-02,https://www.law.go.kr/lsLinkCommonInfo.do?chrClsCd=010202&lsJoLnkSeq=1029334953,2026-08-26T12:31:32+09:00,PENDING,
EV-00022,law_pipa,law,개인정보 보호법,제28조의8,①-1,,,정보주체로부터 국외 이전에 관한 별도의 동의를 받은 경우,,개인정보,정보주체로부터 국외 이전에 관한 별도의 동의를 받은 경우,,,정보주체로부터 국외 이전에 관한 별도의 동의를 받은 경우,2025-10-02,https://www.law.go.kr/lsLinkCommonInfo.do?chrClsCd=010202&lsJoLnkSeq=1029334953,2026-08-26T12:31:32+09:00,PENDING,
EV-00023,law_pipa,law,개인정보 보호법,제28조의8,②,,,개인정보처리자는 제1항제1호에 따른 동의를 받을 때에는 미리 다음 각 호의 사항을 정보주체에게 알려야 한다.,개인정보처리자,개인정보,제1항제1호에 따른 동의를 받을 때,미리 다음 각 호의 사항을 정보주체에게 알려야 한다,,,2025-10-02,https://www.law.go.kr/lsLinkCommonInfo.do?lsJoLnkSeq=1033215841,2026-08-26T12:31:32+09:00,PENDING,
EV-00024,law_pipa,law,개인정보 보호법,제28조의8,②-1~5,,,"1. 이전되는 개인정보 항목
2. 개인정보가 이전되는 국가, 시기 및 방법
3. 개인정보를 이전받는 자의 성명(법인인 경우에는 그 명칭과 연락처를 말한다)
4. 개인정보를 이전받는 자의 개인정보 이용목적 및 보유ㆍ이용 기간
5. 개인정보의 이전을 거부하는 방법, 절차 및 거부의 효과",,개인정보,국외 이전에 관한 별도의 동의를 받을 때 알릴 사항,"이전되는 개인정보 항목, 개인정보가 이전되는 국가ㆍ시기 및 방법, 개인정보를 이전받는 자의 성명, 개인정보를 이전받는 자의 개인정보 이용목적 및 보유ㆍ이용 기간, 개인정보의 이전을 거부하는 방법ㆍ절차 및 거부의 효과를 정보주체에게 알려야 한다",,,2025-10-02,https://www.law.go.kr/lsLinkCommonInfo.do?lsJoLnkSeq=1033215841,2026-08-26T12:31:32+09:00,PENDING,
EV-00025,electronic_financial_supervision_regulation,administrative_rule,전자금융감독규정,제14조,1,,,다음 각 목을 작성ㆍ보관 할 것,금융회사 또는 전자금융업자,정보처리시스템,정보처리시스템의 안전한 운영,"주요 정보처리시스템에 대한 운영매뉴얼, 정기적인 유지보수 실시 내용을 기록한 유지보수관리대장, 정보처리시스템에 대한 책임자명부 및 장애상황기록부를 작성ㆍ보관 할 것",,,2026-07-15,https://law.go.kr/LSW/admRulLsInfoP.do?admRulId=2050888&admRulNm=%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B0%90%EB%8F%85%EA%B7%9C%EC%A0%95,2026-08-26T12:31:32+09:00,PENDING,
EV-00026,electronic_financial_supervision_regulation,administrative_rule,전자금융감독규정,제14조,2,,,"정보처리시스템의 정상작동여부 확인을 위하여 시스템 자원 상태의 감시, 경고 및 제어가 가능하도록 모니터링시스템을 갖출 것",금융회사 또는 전자금융업자,정보처리시스템,정보처리시스템의 정상작동여부 확인,"시스템 자원 상태의 감시, 경고 및 제어가 가능하도록 모니터링시스템을 갖출 것",,,2026-07-15,https://law.go.kr/LSW/admRulLsInfoP.do?admRulId=2050888&admRulNm=%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B0%90%EB%8F%85%EA%B7%9C%EC%A0%95,2026-08-26T12:31:32+09:00,PENDING,
EV-00027,electronic_financial_supervision_regulation,administrative_rule,전자금융감독규정,제14조,6,,,"정보처리시스템의 운영체제(Operating System) 계정으로 로그인(Log in)할 경우 이중인증 절차를 시행하고, 계정에 대한 사용권한, 접근 기록, 작업 내역 등에 대한 상시 모니터링체계를 수립하며, 이상 징후 발생 시 필요한 통제 조치를 즉시 시행할 것",금융회사 또는 전자금융업자,정보처리시스템 운영체제 계정,정보처리시스템의 운영체제(Operating System) 계정으로 로그인(Log in)할 경우,"이중인증 절차를 시행하고, 계정에 대한 사용권한, 접근 기록, 작업 내역 등에 대한 상시 모니터링체계를 수립하며, 이상 징후 발생 시 필요한 통제 조치를 즉시 시행할 것",,,2026-07-15,https://law.go.kr/LSW/admRulLsInfoP.do?admRulId=2050888&admRulNm=%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B0%90%EB%8F%85%EA%B7%9C%EC%A0%95,2026-08-26T12:31:32+09:00,PENDING,
EV-00028,electronic_financial_supervision_regulation,administrative_rule,전자금융감독규정,제14조의2,①,,,금융회사 또는 전자금융업자는 「클라우드컴퓨팅 발전 및 이용자 보호에 관한 법률」 제2조제3호에 따른 클라우드컴퓨팅서비스를 이용하고자 하는 경우 다음 각 호의 절차를 수행하여야 한다.,금융회사 또는 전자금융업자,클라우드컴퓨팅서비스,클라우드컴퓨팅서비스를 이용하고자 하는 경우,다음 각 호의 절차를 수행하여야 한다,,,2026-07-15,https://law.go.kr/LSW/admRulLsInfoP.do?admRulId=2050888&admRulNm=%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B0%90%EB%8F%85%EA%B7%9C%EC%A0%95,2026-08-26T12:31:32+09:00,PENDING,
EV-00029,electronic_financial_supervision_regulation,administrative_rule,전자금융감독규정,제14조의2,①-1,,,다음 각 목의 기준에 따른 이용업무의 중요도 평가,금융회사 또는 전자금융업자,클라우드컴퓨팅서비스,클라우드컴퓨팅서비스 이용업무,다음 각 목의 기준에 따른 이용업무의 중요도 평가,,,2026-07-15,https://law.go.kr/LSW/admRulLsInfoP.do?admRulId=2050888&admRulNm=%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B0%90%EB%8F%85%EA%B7%9C%EC%A0%95,2026-08-26T12:31:32+09:00,PENDING,
EV-00030,electronic_financial_supervision_regulation,administrative_rule,전자금융감독규정,제15조,①,,,금융회사 또는 전자금융업자는 정보처리시스템 및 정보통신망을 해킹 등 전자적 침해행위로부터 방지하기 위하여 다음 각 호의 대책을 수립ㆍ운용하여야 한다.,금융회사 또는 전자금융업자,정보처리시스템 및 정보통신망,해킹 등 전자적 침해행위로부터 방지하기 위하여,다음 각 호의 대책을 수립ㆍ운용하여야 한다,,,2026-07-15,https://law.go.kr/LSW/admRulLsInfoP.do?admRulId=2050888&admRulNm=%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B0%90%EB%8F%85%EA%B7%9C%EC%A0%95,2026-08-26T12:31:32+09:00,PENDING,
EV-00031,electronic_financial_supervision_regulation,administrative_rule,전자금융감독규정,제15조,①-1,,,해킹 등 전자적 침해행위로 인한 사고를 방지하기 위한 정보보호시스템 설치 및 운영,,정보보호시스템,해킹 등 전자적 침해행위로 인한 사고를 방지하기 위한,정보보호시스템 설치 및 운영,,,2026-07-15,https://law.go.kr/LSW/admRulLsInfoP.do?admRulId=2050888&admRulNm=%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B0%90%EB%8F%85%EA%B7%9C%EC%A0%95,2026-08-26T12:31:32+09:00,PENDING,
EV-00032,electronic_financial_supervision_regulation,administrative_rule,전자금융감독규정,제15조,①-3,,,내부통신망과 연결된 내부 업무용시스템은 인터넷(무선통신망 포함) 등 외부통신망과 분리ㆍ차단 및 접속 금지.,,내부 업무용시스템,내부통신망과 연결된 내부 업무용시스템,,인터넷(무선통신망 포함) 등 외부통신망과 분리ㆍ차단 및 접속 금지,,2026-07-15,https://law.go.kr/LSW/admRulLsInfoP.do?admRulId=2050888&admRulNm=%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B0%90%EB%8F%85%EA%B7%9C%EC%A0%95,2026-08-26T12:31:32+09:00,PENDING,
EV-00033,electronic_financial_supervision_regulation,administrative_rule,전자금융감독규정,제34조,1,,,"전화 등 거래수단 성격상 암호화가 불가능한 경우를 제외한 전자금융거래는 암호화 통신을 할 것(다만, 전용선을 사용하는 경우로서 제36조의 규정에 따라 자체 보안성심의를 실시한 경우에는 그러하지 아니하다)",금융회사 또는 전자금융업자,전자금융거래,전화 등 거래수단 성격상 암호화가 불가능한 경우를 제외한 전자금융거래,암호화 통신을 할 것,,전용선을 사용하는 경우로서 제36조의 규정에 따라 자체 보안성심의를 실시한 경우에는 그러하지 아니하다,2026-07-15,https://law.go.kr/LSW/admRulLsInfoP.do?admRulId=2050888&admRulNm=%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B0%90%EB%8F%85%EA%B7%9C%EC%A0%95,2026-08-26T12:31:32+09:00,PENDING,
EV-00034,electronic_financial_supervision_regulation,administrative_rule,전자금융감독규정,제34조의3,①,,,"금융회사 또는 전자금융업자는 정보처리시스템 및 전산자료에 보관하고 있는 이용자의 비밀번호를 암호화하여 보관하며 동 비밀번호를 조회할 수 없도록 하여야 한다. 다만, 비밀번호의 조회가 불가피하다고 인정되는 경우에는 그 조회사유ㆍ내용 등을 기록ㆍ관리하여야 한다.",금융회사 또는 전자금융업자,이용자의 비밀번호,정보처리시스템 및 전산자료에 보관하고 있는 이용자의 비밀번호,이용자의 비밀번호를 암호화하여 보관하며 동 비밀번호를 조회할 수 없도록 하여야 한다,,비밀번호의 조회가 불가피하다고 인정되는 경우에는 그 조회사유ㆍ내용 등을 기록ㆍ관리하여야 한다,2026-07-15,https://law.go.kr/LSW/admRulLsInfoP.do?admRulId=2050888&admRulNm=%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B0%90%EB%8F%85%EA%B7%9C%EC%A0%95,2026-08-26T12:31:32+09:00,PENDING,
EV-00035,fsc_ai_guideline_2026,guide_pdf,금융분야 인공지능 가이드라인,,,13,금융분야 인공지능 7대 원칙,① 거버넌스 원칙최고경영자를 포함한 경영진은 인공지능 개발·활용에 대한 관심을 갖고 역할과 책임을 분담해야 함② 합법성 원칙인공지능 활용 전 단계에서 금융·인공지능 등 관련 법규를 준수해야 함③ 보조수단성 원칙현 단계에서 인공지능은 업무의 보조수단이므로 최종 의사결정과 그에 따른 책임은 임직원이 수행함④ 신뢰성 원칙인공지능 개발 과정에서 신뢰할 수 있는 데이터와 모델을 사용해야 함⑤ 금융안정성 원칙인공지능 설계·학습 등 전 과정에서 금융안정성 위험을 최소화해야 함⑥ 신의성실 원칙인공지능 활용 시 금융소비자의 이익을 최우선으로 해야 함⑦ 보안성 원칙인공지능 활용 시 보안성 기준 및 점검·개선 체계를 마련해야 함,금융회사등,인공지능,인공지능 활용 전 단계,금융·인공지능 등 관련 법규를 준수해야 함; 인공지능 활용 시 보안성 기준 및 점검·개선 체계를 마련해야 함,,,2026-06-22,https://www.fsc.go.kr/no010101/87142,2026-08-26T12:31:32+09:00,PENDING,
EV-00036,fsc_ai_guideline_2026,guide_pdf,금융분야 인공지능 가이드라인,,,19,2.1 법적 요구사항 검토,금융회사등이 인공지능을 개발·이용할 경우에는 적용되는 법규를 사전에 파악하고 해당 법규의 취지와 요구사항을 면밀히 검토한다.,금융회사등,인공지능,인공지능을 개발·이용할 경우,적용되는 법규를 사전에 파악하고 해당 법규의 취지와 요구사항을 면밀히 검토한다,,,2026-06-22,https://www.fsc.go.kr/no010101/87142,2026-08-26T12:31:32+09:00,PENDING,
