evidence_id,previous_status,source_accessed,official_source_verified,original_text_verified,location_verified,structured_fields_verified,gateway_tags_verified,verification_method,verification_evidence,final_status,review_note
EV-00050,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 가상자산이용자보호법 제6조 제1항 원문 확인 후 예치금 분리관리 의무로 한정.,VERIFIED,공식 가상자산이용자보호법 제6조 제1항 원문 확인 후 예치금 분리관리 의무로 한정.
EV-00051,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 가상자산이용자보호법 제6조 제3항 원문 확인. 상계ㆍ압류 금지와 양도ㆍ담보 제한을 반영.,VERIFIED,공식 가상자산이용자보호법 제6조 제3항 원문 확인. 상계ㆍ압류 금지와 양도ㆍ담보 제한을 반영.
EV-00052,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 가상자산이용자보호법 시행령 제8조 제2항 원문 확인. 관리기관 계약 체결 의무로 한정.,VERIFIED,공식 가상자산이용자보호법 시행령 제8조 제2항 원문 확인. 관리기관 계약 체결 의무로 한정.
EV-00053,REVIEW_REQUIRED,Y,Y,Y,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.,REVIEW_REQUIRED,공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.
EV-00054,REVIEW_REQUIRED,Y,Y,Y,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.,REVIEW_REQUIRED,공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.
EV-00055,REVIEW_REQUIRED,Y,Y,Y,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.,REVIEW_REQUIRED,공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.
EV-00056,REVIEW_REQUIRED,N,N,N,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 기록된 시행령 제10조의10 source_url 원문을 공식 페이지에서 직접 확인하지 못해 검증 보류.,REVIEW_REQUIRED,기록된 시행령 제10조의10 source_url 원문을 공식 페이지에서 직접 확인하지 못해 검증 보류.
EV-00057,REVIEW_REQUIRED,N,N,N,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 기록된 시행령 제10조의10 source_url 원문을 공식 페이지에서 직접 확인하지 못해 검증 보류.,REVIEW_REQUIRED,기록된 시행령 제10조의10 source_url 원문을 공식 페이지에서 직접 확인하지 못해 검증 보류.
EV-00058,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 금융위원회 정책자료에서 트래블룰 기준금액 삭제 및 해외 사업자ㆍ개인지갑 거래 AML 의무 문구 확인.,VERIFIED,공식 금융위원회 정책자료에서 트래블룰 기준금액 삭제 및 해외 사업자ㆍ개인지갑 거래 AML 의무 문구 확인.
EV-00059,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 금융정보분석원 CDD 안내 원문으로만 한글 깨짐을 복구하고 구조화 필드를 원문 의미로 제한.,VERIFIED,공식 금융정보분석원 CDD 안내 원문으로만 한글 깨짐을 복구하고 구조화 필드를 원문 의미로 제한.
