transfer_id,originator_id,beneficiary_id,originator_address,beneficiary_address,kyc_status,counterparty_vasp_status,approved_asset,approved_amount_limit,approved_destination,approved_period_start,approved_period_end,requested_asset,requested_amount,requested_destination,requested_at,transaction_identifier,execution_status,actual_distribution_basis,actual_rating_proxy,baseline_policy_decision
DA-V2-00001,OTC-SRC-6,OTC-DST-2,,,PENDING,UNKNOWN,BTC,10000,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-01-15T23:59:59+00:00,UNAPPROVED_TOKEN,36.0,UNKNOWN_VASP,2026-02-14T00:00:00+00:00,DERIVED-OTC-00001,PENDING_RESULT,SNAP_BITCOIN_OTC,4,REVIEW
DA-V2-00002,OTC-SRC-1,OTC-DST-41,,,VERIFIED,VERIFIED,ETH,2500,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,63.0,KR-VASP-B,2026-02-20T00:17:00+00:00,DERIVED-OTC-00002,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00003,OTC-SRC-61,OTC-DST-95,,,VERIFIED,VERIFIED,USDT,5000,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDT,115.5,GLOBAL-VASP-C,2026-03-11T00:34:00+00:00,DERIVED-OTC-00003,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00004,OTC-SRC-41,OTC-DST-23,,,VERIFIED,VERIFIED,USDC,500,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDC,264.0,KR-VASP-A,2026-03-22T00:51:00+00:00,DERIVED-OTC-00004,EXECUTED,SNAP_BITCOIN_OTC,2,PASS
DA-V2-00005,OTC-SRC-108,OTC-DST-81,,,VERIFIED,VERIFIED,BTC,1000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,BTC,572.0,KR-VASP-B,2026-04-05T01:08:00+00:00,DERIVED-OTC-00005,EXECUTED,SNAP_BITCOIN_OTC,2,PASS
DA-V2-00006,OTC-SRC-77,OTC-DST-166,,,VERIFIED,VERIFIED,ETH,1000,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,1018.5,GLOBAL-VASP-C,2026-04-13T01:25:00+00:00,DERIVED-OTC-00006,EXECUTED,SNAP_BITCOIN_OTC,1,BLOCK
DA-V2-00007,OTC-SRC-64,OTC-DST-7,,,VERIFIED,VERIFIED,USDT,10000,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDT,2415.0,KR-VASP-A,2026-04-21T01:42:00+00:00,DERIVED-OTC-00007,EXECUTED,SNAP_BITCOIN_OTC,3,PASS
DA-V2-00008,OTC-SRC-154,OTC-DST-153,,,VERIFIED,VERIFIED,USDC,5000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDC,4725.0,KR-VASP-B,2026-05-02T01:59:00+00:00,DERIVED-OTC-00008,PENDING_RESULT,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00009,OTC-SRC-80,OTC-DST-62,,,VERIFIED,VERIFIED,BTC,500,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,BTC,9900.0,GLOBAL-VASP-C,2026-05-10T02:16:00+00:00,DERIVED-OTC-00009,EXECUTED,SNAP_BITCOIN_OTC,2,BLOCK
DA-V2-00010,OTC-SRC-180,OTC-DST-1,,,PENDING,VERIFIED,ETH,500,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,18900.0,KR-VASP-A,2026-05-13T02:33:00+00:00,DERIVED-OTC-00010,EXECUTED,SNAP_BITCOIN_OTC,1,REVIEW
DA-V2-00011,OTC-SRC-191,OTC-DST-29,,,VERIFIED,VERIFIED,USDT,1000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDT,31.5,KR-VASP-B,2026-05-19T02:50:00+00:00,DERIVED-OTC-00011,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00012,OTC-SRC-75,OTC-DST-308,,,VERIFIED,VERIFIED,USDC,2500,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,UNAPPROVED_TOKEN,63.0,GLOBAL-VASP-C,2026-05-23T03:07:00+00:00,DERIVED-OTC-00012,EXECUTED,SNAP_BITCOIN_OTC,1,BLOCK
DA-V2-00013,OTC-SRC-216,OTC-DST-202,,,VERIFIED,VERIFIED,BTC,500,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,BTC,126.5,KR-VASP-A,2026-05-26T03:24:00+00:00,DERIVED-OTC-00013,EXECUTED,SNAP_BITCOIN_OTC,3,PASS
DA-V2-00014,OTC-SRC-222,OTC-DST-139,,,VERIFIED,UNKNOWN,ETH,10000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,252.0,UNKNOWN_VASP,2026-05-29T03:41:00+00:00,DERIVED-OTC-00014,EXECUTED,SNAP_BITCOIN_OTC,1,REVIEW
DA-V2-00015,OTC-SRC-80,OTC-DST-372,,,VERIFIED,VERIFIED,USDT,500,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDT,546.0,GLOBAL-VASP-C,2026-06-02T03:58:00+00:00,DERIVED-OTC-00015,PENDING_RESULT,SNAP_BITCOIN_OTC,1,BLOCK
DA-V2-00016,OTC-SRC-64,OTC-DST-7,,,VERIFIED,VERIFIED,USDC,1000,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDC,1018.5,KR-VASP-A,2026-06-05T04:15:00+00:00,DERIVED-OTC-00016,EXECUTED,SNAP_BITCOIN_OTC,1,BLOCK
DA-V2-00017,OTC-SRC-271,OTC-DST-410,,,VERIFIED,VERIFIED,BTC,2500,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,BTC,2205.0,KR-VASP-B,2026-06-08T04:32:00+00:00,DERIVED-OTC-00017,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00018,OTC-SRC-256,OTC-DST-449,,,VERIFIED,VERIFIED,ETH,5000,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-01-15T23:59:59+00:00,ETH,4725.0,GLOBAL-VASP-C,2026-06-11T04:49:00+00:00,DERIVED-OTC-00018,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00019,OTC-SRC-301,OTC-DST-470,,,PENDING,VERIFIED,USDT,500,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDT,9900.0,KR-VASP-A,2026-06-18T05:06:00+00:00,DERIVED-OTC-00019,EXECUTED,SNAP_BITCOIN_OTC,2,REVIEW
DA-V2-00020,OTC-SRC-202,OTC-DST-399,,,VERIFIED,VERIFIED,USDC,1000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDC,19800.0,KR-VASP-B,2026-06-24T05:23:00+00:00,DERIVED-OTC-00020,EXECUTED,SNAP_BITCOIN_OTC,2,BLOCK
DA-V2-00021,OTC-SRC-7,OTC-DST-144,,,VERIFIED,VERIFIED,BTC,1000,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,BTC,31.5,GLOBAL-VASP-C,2026-01-01T05:40:00+00:00,DERIVED-OTC-00021,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00022,OTC-SRC-251,OTC-DST-510,,,VERIFIED,VERIFIED,ETH,1000,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,75.0,KR-VASP-A,2026-01-05T05:57:00+00:00,DERIVED-OTC-00022,PENDING_RESULT,SNAP_BITCOIN_OTC,5,PASS
DA-V2-00023,OTC-SRC-135,OTC-DST-521,,,VERIFIED,VERIFIED,USDT,10000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,UNAPPROVED_TOKEN,121.0,KR-VASP-B,2026-01-09T06:14:00+00:00,DERIVED-OTC-00023,EXECUTED,SNAP_BITCOIN_OTC,2,BLOCK
DA-V2-00024,OTC-SRC-202,OTC-DST-360,,,VERIFIED,VERIFIED,USDC,10000,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDC,252.0,GLOBAL-VASP-C,2026-01-12T06:31:00+00:00,DERIVED-OTC-00024,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00025,OTC-SRC-330,OTC-DST-547,,,VERIFIED,VERIFIED,BTC,500,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,BTC,546.0,KR-VASP-A,2026-01-13T06:48:00+00:00,DERIVED-OTC-00025,EXECUTED,SNAP_BITCOIN_OTC,1,BLOCK
DA-V2-00026,OTC-SRC-393,OTC-DST-269,,,VERIFIED,VERIFIED,ETH,1000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,1018.5,KR-VASP-B,2026-01-16T07:05:00+00:00,DERIVED-OTC-00026,EXECUTED,SNAP_BITCOIN_OTC,1,BLOCK
DA-V2-00027,OTC-SRC-215,OTC-DST-596,,,VERIFIED,UNKNOWN,USDT,10000,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDT,2415.0,UNKNOWN_VASP,2026-01-19T07:22:00+00:00,DERIVED-OTC-00027,EXECUTED,SNAP_BITCOIN_OTC,3,REVIEW
DA-V2-00028,OTC-SRC-423,OTC-DST-374,,,PENDING,VERIFIED,USDC,500,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDC,5175.0,KR-VASP-A,2026-01-21T07:39:00+00:00,DERIVED-OTC-00028,EXECUTED,SNAP_BITCOIN_OTC,3,REVIEW
DA-V2-00029,OTC-SRC-444,OTC-DST-468,,,VERIFIED,VERIFIED,BTC,10000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,BTC,9450.0,KR-VASP-B,2026-01-23T07:56:00+00:00,DERIVED-OTC-00029,PENDING_RESULT,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00030,OTC-SRC-451,OTC-DST-436,,,VERIFIED,VERIFIED,ETH,500,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,18900.0,GLOBAL-VASP-C,2026-01-24T08:13:00+00:00,DERIVED-OTC-00030,EXECUTED,SNAP_BITCOIN_OTC,1,BLOCK
DA-V2-00031,OTC-SRC-408,OTC-DST-674,,,VERIFIED,VERIFIED,USDT,1000,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDT,39.0,KR-VASP-A,2026-01-26T08:30:00+00:00,DERIVED-OTC-00031,EXECUTED,SNAP_BITCOIN_OTC,6,PASS
DA-V2-00032,OTC-SRC-393,OTC-DST-319,,,VERIFIED,VERIFIED,USDC,2500,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDC,63.0,KR-VASP-B,2026-01-27T08:47:00+00:00,DERIVED-OTC-00032,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00033,OTC-SRC-484,OTC-DST-571,,,VERIFIED,VERIFIED,BTC,5000,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,BTC,115.5,GLOBAL-VASP-C,2026-01-29T09:04:00+00:00,DERIVED-OTC-00033,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00034,OTC-SRC-484,OTC-DST-722,,,VERIFIED,VERIFIED,ETH,10000,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,UNAPPROVED_TOKEN,252.0,KR-VASP-A,2026-01-31T09:21:00+00:00,DERIVED-OTC-00034,EXECUTED,SNAP_BITCOIN_OTC,1,BLOCK
DA-V2-00035,OTC-SRC-288,OTC-DST-741,,,VERIFIED,VERIFIED,USDT,1000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-01-15T23:59:59+00:00,USDT,572.0,KR-VASP-B,2026-02-01T09:38:00+00:00,DERIVED-OTC-00035,EXECUTED,SNAP_BITCOIN_OTC,2,PASS
DA-V2-00036,OTC-SRC-215,OTC-DST-452,,,VERIFIED,VERIFIED,USDC,1000,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDC,1018.5,GLOBAL-VASP-C,2026-02-02T09:55:00+00:00,DERIVED-OTC-00036,PENDING_RESULT,SNAP_BITCOIN_OTC,1,BLOCK
DA-V2-00037,OTC-SRC-518,OTC-DST-786,,,PENDING,VERIFIED,BTC,1000,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,BTC,3150.0,KR-VASP-A,2026-02-03T10:12:00+00:00,DERIVED-OTC-00037,EXECUTED,SNAP_BITCOIN_OTC,10,REVIEW
DA-V2-00038,OTC-SRC-270,OTC-DST-732,,,VERIFIED,VERIFIED,ETH,500,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,5175.0,KR-VASP-B,2026-02-04T10:29:00+00:00,DERIVED-OTC-00038,EXECUTED,SNAP_BITCOIN_OTC,3,BLOCK
DA-V2-00039,OTC-SRC-534,OTC-DST-687,,,VERIFIED,VERIFIED,USDT,500,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDT,9900.0,GLOBAL-VASP-C,2026-02-06T10:46:00+00:00,DERIVED-OTC-00039,EXECUTED,SNAP_BITCOIN_OTC,2,BLOCK
DA-V2-00040,OTC-SRC-384,OTC-DST-687,,,VERIFIED,UNKNOWN,USDC,500,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDC,18900.0,UNKNOWN_VASP,2026-02-07T11:03:00+00:00,DERIVED-OTC-00040,EXECUTED,SNAP_BITCOIN_OTC,1,REVIEW
DA-V2-00041,OTC-SRC-396,OTC-DST-830,,,VERIFIED,VERIFIED,BTC,1000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,BTC,31.5,KR-VASP-B,2026-02-08T11:20:00+00:00,DERIVED-OTC-00041,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00042,OTC-SRC-468,OTC-DST-735,,,VERIFIED,VERIFIED,ETH,10000,GLOBAL-VASP-C,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,69.0,GLOBAL-VASP-C,2026-02-08T11:37:00+00:00,DERIVED-OTC-00042,EXECUTED,SNAP_BITCOIN_OTC,3,PASS
DA-V2-00043,OTC-SRC-269,OTC-DST-206,,,VERIFIED,VERIFIED,USDT,5000,KR-VASP-A,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDT,115.5,KR-VASP-A,2026-02-08T11:54:00+00:00,DERIVED-OTC-00043,PENDING_RESULT,SNAP_BITCOIN_OTC,1,PASS
DA-V2-00044,OTC-SRC-198,OTC-DST-922,,,VERIFIED,VERIFIED,USDC,10000,KR-VASP-B,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,USDC,252.0,KR-VASP-B,2026-02-09T12:11:00+00:00,DERIVED-OTC-00044,EXECUTED,SNAP_BITCOIN_OTC,1,PASS
