evidence_id,previous_status,source_accessed,official_source_verified,original_text_verified,location_verified,structured_fields_verified,gateway_tags_verified,verification_method,verification_evidence,final_status,review_note
EV-00001,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00002,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00003,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00004,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00005,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 개인정보 보호법 제28조의3 제3항 원문과 조항 위치를 확인했고 구조화 필드는 시행령 위임 범위만 남김.,VERIFIED,공식 개인정보 보호법 제28조의3 제3항 원문과 조항 위치를 확인했고 구조화 필드는 시행령 위임 범위만 남김.
EV-00006,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00007,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 개인정보 보호법 제28조의4 제2항 원문 확인. 가명정보 처리기간을 별도로 정할 수 있다는 허용 범위로 한정.,VERIFIED,공식 개인정보 보호법 제28조의4 제2항 원문 확인. 가명정보 처리기간을 별도로 정할 수 있다는 허용 범위로 한정.
EV-00008,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 기존 한글 깨짐을 공식 개인정보 보호법 제28조의4 제3항 원문으로만 복구.,VERIFIED,기존 한글 깨짐을 공식 개인정보 보호법 제28조의4 제3항 원문으로만 복구.
EV-00009,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00010,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
